source_path,package_path,decision,category,label,sha256,size_bytes
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Exchange Rate & Price Data,data/highway_full_cost_model/original_legacy/full_cost_project_c4/exchange_rate_price_data_original.txt,included,data,exchange rate and price data source,a6b626d7097299e89a538ac56485d060a13f849bf3aaf0efbd9a88ade0874e51,982
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Gov_Salary by State1,data/highway_full_cost_model/original_legacy/full_cost_project_c4/government_salary_by_state_original_legacy.xls,included,data,state government salary source workbook,c614da6f4e35a14b52d8a7e27114835dae6fd8f0a28f7c16cd06a1c8b8603088,26112
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Greg 1,data/highway_full_cost_model/original_legacy/full_cost_project_c4/greg_1_original.xls,included,data,legacy Greg 1 workbook,191d8518b4c74cd71b3408ce315ab3375a58f407acb2f7cb21f3c9c684508275,1107563
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Greg 2,data/highway_full_cost_model/original_legacy/full_cost_project_c4/greg_2_original.xls,included,data,legacy Greg 2 workbook,f6f5fdfcfb1a59ab6c910ec5800e8c39f5d295bb1c8dad6e9b612d6432d8d2b6,693248
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HF1.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/hf1_original.txt,included,data,highway source text,1334b394bcdecd1c31879f4ffb2d478995d5b2415764f4801c04a94f7ffe06cb,63
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HIGHDATA.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highdata_original.txt,included,data,highway data text,605f7ff2a1bc5926c1baaa819c60237270022e1571c3a34bc885bfa4364ff89f,2113
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HIGHWAY.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_original.txt,included,data,highway data text,442f8e08e8c2303a4960f16f9add6b1ae943c13c74a170dc9c282d09ac702614,16061
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HIGHWAY2.CTL,code/legacy_statistical_controls/highway2_control_original.ctl,included,code,highway2 statistical control file,fad5ad50017eee2249b986a280ac708508573111437937a53e0ad5a3a035047c,1416
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HIGHWAY2.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway2_original.txt,included,data,highway2 data text,1b3586fbc4de50ede5151cbabe00dadc5c9dd31606a9a505a507e8c2d9705993,16117
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Highway 1990,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_statistics_1990_original.xls,included,data,Highway Statistics 1990 workbook,ecbd7c06a2c4833528aa58f7a86e7e3ab66a586252e557a54d22535ce4958568,127884
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Highway 1991,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_statistics_1991_original.xls,included,data,Highway Statistics 1991 workbook,2e8c4bdce98b0556cf13a6082ba56fb8bb088fb6fca1f93d96100b0f94bf0fda,18570
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Highway 1992,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_statistics_1992_original.xls,included,data,Highway Statistics 1992 workbook,e0dcb77a3b9829250b9501d4a12f872cec4882f8f22ee073ea40927443712aa4,17135
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Highway Statistics 1987,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_statistics_1987_original.xls,included,data,Highway Statistics 1987 workbook,7732221b61ef85ac77c4e43f0e1c88679969833c741b75ef1ce5e1288ebc3556,16164
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Highway Statistics Format,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_statistics_format_original.xls,included,data,Highway Statistics format workbook,241400d73dd7ebd8f1072653a4fd2739fa353eb7d54b21eef88e31a99bbed764,6831
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HWY-CUTS,data/highway_full_cost_model/original_legacy/full_cost_project_c4/highway_cuts_original_legacy.xls,included,data,highway cuts legacy workbook,0b0e8a6351e5429e5025140c1a06c5718faa1190e1c9a18b2d0beb07191d5470,23040
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HWY92.XLS,data/highway_full_cost_model/original_legacy/full_cost_project_c4/hwy92_original.xls,included,data,HWY92 workbook,e5865bfccb8253e3594aa0861175835da5145adda3c76deeac0655a6e12425a7,293888
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HWY92c.txt,data/highway_full_cost_model/original_legacy/full_cost_project_c4/hwy92c_original.txt,included,data,HWY92 cleaned text,e9a9987e0b88558ac365cd5f992eb14312bcca61e2dcfdb9fce198225823f816,24902
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/HWYSPSS.LIS,data/highway_full_cost_model/original_legacy/full_cost_project_c4/hwy_spss_listing_original.lis,included,data,SPSS listing,d8a50069850894d1007a25a92299ca61480f25bf79c05570f955b61eb8e779d6,36864
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/MEANS,data/highway_full_cost_model/original_legacy/full_cost_project_c4/means_original.dat,included,data,legacy means output,b15f3e0bab2ec89ed144f0b9d87b89fdbdaccde27d5879fea1f52405af43820b,18845
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/Pavement,documentation/full_cost_report/chapter_four_workpapers/pavement_original_word6.doc,included,documentation,pavement workpaper,e24ade07a96eae163f4e87d47f76ff181be06161bc147b02740380f17d872009,16384
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/REGRESS1.OUT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/regress1_original.out,included,data,regression output,4f044b705e1744ef861454396df9ab0f1e6bd99977ce3c5c050d661f3b9ee611,25600
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/REGRESS8.CTL,code/legacy_statistical_controls/regress8_control_original.ctl,included,code,regression control file,33205f75c8b0a451d7a68a1ec787ce0546e10ab4ef0e9a1cea9ac47d78e986b6,14132
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/SPSS.msw,code/legacy_statistical_controls/spss_original.msw,included,code,legacy SPSS/control source,d7332856ee90c7df305dae4997dc3fcf550487fefad818b67e75396a9f892d13,29184
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/TimeSer1.txt,data/highway_full_cost_model/original_legacy/full_cost_project_c4/timeser1_original.txt,included,data,time series data,7637cc0a477be39c4605cd96d309eacee7177bd21258a066d005cdacef2dd5fe,75779
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/TIMESER2.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/timeser2_original.txt,included,data,time series data,ed6b90f2cc549d4a2962139132be6d7abe91661bf2ace3a29894e3d4a711dde3,76668
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/TIMESER3.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/timeser3_original.txt,included,data,time series data,e4fe63df22c6889d3a5b7440fd00f504ae3f775f14f2e8188e9793bd23f16a4f,3956
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/TS1.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/ts1_original.txt,included,data,time series data,ae6222f9b819fc7c4788e84b5047c1397f4f1ebaf630e1907cd2977802f79d21,76744
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/DATABREK.AWK,code/legacy_awk_scripts/databrek_original.awk,included,code,data break AWK script,b0f4737a783250d26b651a841e72a28711ca74db392ced3595ed4281a0e8c41a,45
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/F3.A,code/legacy_awk_scripts/f3_original.awk,included,code,F3 AWK script,19555aac639bdf6d59a45c5c5bed1e7691ddc774a67a76152e9c3c675c63747d,253
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/GET1969.AWK,code/legacy_awk_scripts/get1969_original.awk,included,code,GET1969 AWK script,cf2290c213cbca8bdbdda84a65415cae57ac769afdc09299de804aac7b6d618e,110
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C4 Highway/GET1988.AWK,code/legacy_awk_scripts/get1988_original.awk,included,code,GET1988 AWK script,ddbb8fed517a69415fc8aca9997c3db94b3d78734f9054b90107bcc9a7f3d030,110
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/B2.TXT,data/highway_full_cost_model/original_legacy/highways_archive/b2.txt,included,data,HIGHWAYS archive primary model/data/output file,d4eccc1eebb31f2b8aecf22f5d189eacc4176f2f6b46ef54f103f31eab1a9d0c,410
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/BRATE.TXT,data/highway_full_cost_model/original_legacy/highways_archive/brate.txt,included,data,HIGHWAYS archive primary model/data/output file,1ad332a66317239c5ad18722c1a18b7dde9cfb1d91970e0e62d1b60436a23bac,953
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/COBBDOUG.CTL,code/legacy_statistical_controls/highways_archive/cobbdoug.ctl,included,code,HIGHWAYS archive primary model/data/output file,aae13c0879b5020e9cbaada72dddbfd9af22ba898e2135cb42ef08f825cac406,4943
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/CORREL5.TXT,data/highway_full_cost_model/original_legacy/highways_archive/correl5.txt,included,data,HIGHWAYS archive primary model/data/output file,ef28624dbae15f427697c91ed83ec4a395e7aa0d76aeab45b04b60ec7d8e55fa,17715
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/F3.A,code/legacy_awk_scripts/f3_original.awk,deduplicated_internal,code,HIGHWAYS archive F3 AWK duplicate; canonical copy kept in Full Cost Project C4 script location,19555aac639bdf6d59a45c5c5bed1e7691ddc774a67a76152e9c3c675c63747d,253
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/FINDER.DAT,data/highway_full_cost_model/original_legacy/highways_archive/finder.dat,included,data,HIGHWAYS archive primary model/data/output file,87fd9b165a59141a5efeeae18201efab705ab4c67790eebb12983c46c068aded,6028
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H4.CTL,code/legacy_statistical_controls/highways_archive/h4.ctl,included,code,HIGHWAYS archive primary model/data/output file,622146ca3cfdbd02935aadc010224bc9cdbb11c8edc796cffeb2b35089268a08,9660
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5.CTL,code/legacy_statistical_controls/highways_archive/h5.ctl,included,code,HIGHWAYS archive primary model/data/output file,387a4055e6a8402575314e00daf6d9871807538af302fa51185be83730956291,9472
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5A.CTL,code/legacy_statistical_controls/highways_archive/h5a.ctl,included,code,HIGHWAYS archive primary model/data/output file,b84502d489bc963e2cc1f51bf850ef2bce82adc9ece726c26ee86f1baa52915f,8492
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5B.CTL,code/legacy_statistical_controls/highways_archive/h5b.ctl,included,code,HIGHWAYS archive primary model/data/output file,7767e7cfaeed56bedc7e07bc874699c6051f7a44a6a6bd7d716355c3297bc271,8245
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5E.CTL,code/legacy_statistical_controls/highways_archive/h5e.ctl,included,code,HIGHWAYS archive primary model/data/output file,3c606d880f50a112f659c60dd725861d730d3d741b9274f98d58700526a8a10b,8699
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5P.CTL,code/legacy_statistical_controls/highways_archive/h5p.ctl,included,code,HIGHWAYS archive primary model/data/output file,d120d3f90f4c4817caa045d95eea98487aaf3f3e3fa13be20ff6a965103b8dad,8842
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5S.CTL,code/legacy_statistical_controls/highways_archive/h5s.ctl,included,code,HIGHWAYS archive primary model/data/output file,f81306be24e47f7f80d61b5734cfadd2eb8aefe653fd4b2e965af891d790cdd9,8816
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/H5T.CTL,code/legacy_statistical_controls/highways_archive/h5t.ctl,included,code,HIGHWAYS archive primary model/data/output file,7a65275ec18323085a3e529e25f76d850b7fb38ac1c07bda3d970aaa3f71f591,9948
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HF1.TXT,data/highway_full_cost_model/original_legacy/full_cost_project_c4/hf1_original.txt,deduplicated_internal,data,HIGHWAYS archive HF1 duplicate; canonical copy kept in Full Cost Project C4 source location,1334b394bcdecd1c31879f4ffb2d478995d5b2415764f4801c04a94f7ffe06cb,63
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HF92C.TXT,data/highway_full_cost_model/original_legacy/highways_archive/hf92c.txt,included,data,HIGHWAYS archive primary model/data/output file,c77d57e83451ced336aa4ea7726be68e55955cd8f7d07af0e7e330ac49762f83,721
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY2.CTL,code/legacy_statistical_controls/highways_archive/highway2.ctl,included,code,HIGHWAYS archive primary model/data/output file,8b4b2e5225457cf70d1bc0dc4461b1dbbc038b0098a97c9d22a6f39acb61af3d,3549
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY2.TXT,data/highway_full_cost_model/original_legacy/highways_archive/highway2.txt,included,data,HIGHWAYS archive primary model/data/output file,d26a37e8d03a9367d0e9273181f284defe8cb70a06bb5e2ad22d0316e95d75ac,14916
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY2.X,data/highway_full_cost_model/original_legacy/highways_archive/highway2.x,included,data,HIGHWAYS archive primary model/data/output file,15ebc83e140c438497c7b68d1c4f4b7365cc224555b3a41992e2945b355679cf,25088
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY3.TXT,data/highway_full_cost_model/original_legacy/highways_archive/highway3.txt,included,data,HIGHWAYS archive primary model/data/output file,7ea220ce5173339f6c3e5eac898191a4f5e896ece64d1d64de35388f262591d9,18800
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY3.X,data/highway_full_cost_model/original_legacy/highways_archive/highway3.x,included,data,HIGHWAYS archive primary model/data/output file,f81557ddcb92be936283e4cd2d069f2fa009b0c343a5eeb97bc3b87c68443093,29504
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY4.TXT,data/highway_full_cost_model/original_legacy/highways_archive/highway4.txt,included,data,HIGHWAYS archive primary model/data/output file,9fb46cd5864cbcbff939c7377351bebfa5c5f2fcb1ec542fef10d692eb836ddd,23732
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY4.X,data/highway_full_cost_model/original_legacy/highways_archive/highway4.x,included,data,HIGHWAYS archive primary model/data/output file,2690bf6dc1def807a9e0230cca77d1fd6694793eb855ca59e44a90f858c41c3e,35968
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY5.TXT,data/highway_full_cost_model/original_legacy/highways_archive/highway5.txt,included,data,HIGHWAYS archive primary model/data/output file,f65090db64e93b57787c616c162a2e4eb80cf8b9ee7523dce484060f8530b8b2,23517
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HIGHWAY5.X,data/highway_full_cost_model/original_legacy/highways_archive/highway5.x,included,data,HIGHWAYS archive primary model/data/output file,4116453fc4252e14f1cbaf64fff61d1567c31c06cc40e7b04b1461a34a46fff5,38016
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/HWY92C.TXT,data/highway_full_cost_model/original_legacy/highways_archive/hwy92c.txt,included,data,HIGHWAYS archive primary model/data/output file,975476b895a2b8106611cb98b7f0c9952f7722062b7343910af4a769111e2e7e,23157
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/MNTRI.R1,data/highway_full_cost_model/original_legacy/highways_archive/mntri.r1,included,data,HIGHWAYS archive primary model/data/output file,d1981e3a8ff73b74fea0cc23d3e91c56a3657cfa7ae510b4a39e3b995cd5dc41,1603
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/Q,data/highway_full_cost_model/original_legacy/highways_archive/q,included,data,HIGHWAYS archive primary model/data/output file,e631dae9dea3bcf7008fe97dda80597656f2381ce55a51e5f0de5c7350ebd53a,1439
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRES10.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regres10.txt,included,data,HIGHWAYS archive primary model/data/output file,1941514ea2517ea266e4fe6702b6f5b2bb23e8dc54191950bab4d01dda32ffac,6476
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRES11.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regres11.txt,included,data,HIGHWAYS archive primary model/data/output file,f59004ff2614a47cef379499b4095c4d9b063f51afe704a0864a528b689add82,10186
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRES12.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regres12.txt,included,data,HIGHWAYS archive primary model/data/output file,cf04e3194a8803761789bd4e2e0540f9125305c5b94f134f6ec7032c069a7808,6511
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRES13.OUT,data/highway_full_cost_model/original_legacy/highways_archive/regres13.out,included,data,HIGHWAYS archive primary model/data/output file,74810fc32bf88a2a51e08282e1dd271f16d3722915f93ca3f5e9a86a2b6184f4,48422
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRES14.OUT,data/highway_full_cost_model/original_legacy/highways_archive/regres14.out,included,data,HIGHWAYS archive primary model/data/output file,cff3e7e7a818e9483e503e48a9b2e0a19af0ed059b11c839e3ce0ac9bb2f9b82,10170
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS2.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress2.txt,included,data,HIGHWAYS archive primary model/data/output file,f51b7ec236640d86d8b3354b99f139e001fecff44d03adfa2778d9353e744d9c,3694
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS3.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress3.txt,included,data,HIGHWAYS archive primary model/data/output file,aa24f6fa8ca4985455f6a9a368f7be5c0c07c5ee5c2f33ce7dc8fc3b2f4f7d4c,7066
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS4.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress4.txt,included,data,HIGHWAYS archive primary model/data/output file,cd6a192d1160cd5670a2643425cf2b4dc2e3ab0fac343717d247e590d5888cb1,5331
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS6.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress6.txt,included,data,HIGHWAYS archive primary model/data/output file,2338d707150218b5e0f0c18e68467e2f51bce4c3d9211e5f8c12f6ab2a8d24ea,7971
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS7.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress7.txt,included,data,HIGHWAYS archive primary model/data/output file,379e2259bd372f1a6f58e7598587d529448a23564451840cda97a6ecc4252ac7,8025
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS8.TXT,code/legacy_statistical_controls/regress8_control_original.ctl,deduplicated_internal,data,HIGHWAYS archive REGRESS8 duplicate; canonical copy kept as statistical control file,33205f75c8b0a451d7a68a1ec787ce0546e10ab4ef0e9a1cea9ac47d78e986b6,14132
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/REGRESS9.TXT,data/highway_full_cost_model/original_legacy/highways_archive/regress9.txt,included,data,HIGHWAYS archive primary model/data/output file,406b55c15fe0bc96335c02e50a0684f20d4a391ede14f6439ebf7560e72f6829,21598
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/SPSS.LIS,data/highway_full_cost_model/original_legacy/highways_archive/spss.lis,included,data,HIGHWAYS archive primary model/data/output file,2b7b24efdaa86de59f8778580fa603fcdb4253c9c9e32fbebf241a87d5b82d61,17328
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/SPSS.LOG,data/highway_full_cost_model/original_legacy/highways_archive/spss.log,included,data,HIGHWAYS archive primary model/data/output file,cdfc4ee859165da2d35ee53a11fa352e06b387635e5a83a90c3452880b143a42,6932
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/TIMESER3.TXT,data/highway_full_cost_model/original_legacy/highways_archive/timeser3.txt,included,data,HIGHWAYS archive primary model/data/output file,608ffa9c0970b63a420bfff6de839083f6036c42a1f357fbdac76f5de93cd591,3936
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/TRANSLO2.CTL,code/legacy_statistical_controls/highways_archive/translo2.ctl,included,code,HIGHWAYS archive primary model/data/output file,96310ecff187b39d8b3ff5b60d266892375f7bed498f00fd93a7db394c8a7fda,5345
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/TRANSLO2.OUT,data/highway_full_cost_model/original_legacy/highways_archive/translo2.out,included,data,HIGHWAYS archive primary model/data/output file,54a8637dc4d1f5136d7fa33cee3f3c399890cf1af1d15b088d03c151fcfa879e,4728
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/TRANSLOG.CTL,code/legacy_statistical_controls/highways_archive/translog.ctl,included,code,HIGHWAYS archive primary model/data/output file,5a0d351b0689ccdef187512bc000e05df88d7ad26de5ecf0c5115ecae507bc2c,4851
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/TRANSLOG.OUT,data/highway_full_cost_model/original_legacy/highways_archive/translog.out,included,data,HIGHWAYS archive primary model/data/output file,5a81dc5ee03a00dbba5eaf2cf770474a2d9eb3bf7a9e48aec2cda36d4e904f0f,12006
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/WLS1.CTL,code/legacy_statistical_controls/highways_archive/wls1.ctl,included,code,HIGHWAYS archive primary model/data/output file,2948fca25b839cf4f254596ae7803dc1e0e83afc2944a5cccea6f15838f47131,4198
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/WLS2.CTL,code/legacy_statistical_controls/highways_archive/wls2.ctl,included,code,HIGHWAYS archive primary model/data/output file,05bbc0f0e228876ed1688cf211cb23cdbe716a151afdf13953987a8e75ed24cb,4414
/Users/dlev2617/Documents/~~Archives/HIGHWAYS/WLS3.CTL,code/legacy_statistical_controls/highways_archive/wls3.ctl,included,code,HIGHWAYS archive primary model/data/output file,2bc32be5bee3acd21c5e78755fe8d36e8258e0ecdd3404b3b9f43cc177c16441,5296
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/CongestionModels/HCongestionModel.123,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/highway_congestion_model_original_lotus123.123,deduplicated_to_shared_source,data,highway congestion model Lotus 1-2-3 worksheet,ade2f942fce3e4b4c3435c4f58ae1351e0c5ea235e25b69204b76d54620a15b1,8432
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/Models/NoiseModel/HNoiseModel.123,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/highway_noise_model_original_lotus123.123,deduplicated_to_shared_source,data,highway noise model Lotus 1-2-3 worksheet,7a5731d9d4aefbf2174cbfd7c11358662709b7f36bb3bf9873595fb0abb43a65,25939
/Users/dlev2617/Documents/~~Archives/Berkeley/Berkeley Work/Full Cost Project/C3-Social/SocialCharts,../../../_shared_sources/full-cost-intercity-transportation-1996/files/full_cost_social_cost_models/original_legacy/social_cost_charts_original.xls,deduplicated_to_shared_source,data,social cost charts workbook,7973df5a2bb96dc819e139c5c26ae99155ad8c82feaad6b031c377fa0c0ca19c,156672
